title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
"‘I Live, Eat n Breathe ANZ’",Assistant Manager,ANZ is a very people oriented organisation. Their aim for Diversity and equal opportunity is the biggest attraction for the future employees,"There might be some challenges withing the industry or market sector, however there's no chalenge as an employer that ANZ fac currentlyy",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,ANZ
‘Really enjoyed going to work’,Service Consultant - Part Time,"Anz has a great reward system, the harder you work the better thw rewards.","I had to travel to get to the branch I worked at as the local branches did not have positions available,  this was the hardest thing for me",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Bankstown NSW, Australia",4.0,4.0,5.0,4.0,5.0,5.0,4.0,ANZ
"‘Good pay, good opportunity, good benefits’",Assistant Manager Business Banking,Opportunity,Targets,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,3.0,3.0,3.0,4.0,5.0,5.0,ANZ
‘Good and bad experiences but mostly good’,Markets Officer,Work/life. Support for Mums returning to work,Higher management not communicating with staff as well as the could,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,3.0,2.0,4.0,4.0,4.0,ANZ
‘Thoroughly enjoyed working for ANZ. Worked with  a great team’,Personal Banker,Belonging to a great organization,"All the courses, keeping up with all the changes",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Rockhampton, Queensland, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,ANZ
‘Great company to work for’,Mortgage Assessor Retail Lending Operations,Great working environment and values,Technology is not the best in the company,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Docklands, Victoria, Australia",4.0,5.0,5.0,4.0,4.0,5.0,5.0,ANZ
‘A frustrating place if you like to get things done.’,Investment Specialist,Some talented and honest people.  Good work life balance.  Excellent client base.  Strong transactional banking and lending business.,Poor IT infrastructure.  Weak and limited investment offering.  Uninspiring leadership who are constrained by non-aligned interests of external stakeholders.   Highly politicised management culture.,Recommends working here: No,Rates salary as: Average,4 years ago,,3.0,4.0,2.0,1.0,3.0,4.0,3.0,ANZ
‘When u find what u looking for..... (professionally)’,MIS Manager Pacific,"Management style, culture, opportunities","Creating change, frequent Change in vision",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,5.0,5.0,4.0,4.0,5.0,ANZ
‘Difficult and challenging at times’,Personal Banker,Public holiday paid,Customer abuse,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Ballarat, Victoria, Australia",3.0,3.0,3.0,3.0,3.0,3.0,1.0,ANZ
‘Rewarding and challenging’,Client Service Consultant,"Friendly, work balance and flexibility. Team work and room to grow and learn.",Very challenging but rewarding. Customer service is a priority and no time for errors.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,ANZ
