title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Would return if I had a different leader.’,Settlements Officer,Great people,Endless redundancies.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney Olympic Park, New South Wales, Australia",3.0,3.0,3.0,1.0,3.0,3.0,3.0,Westpac Banking Corporation
"‘Challenging, rewarding company to work for.’",Home Finance Manager,"Challenging, rewarding work place. Great team environment. Excellent career opportunities .",Continued changes in lending policy to keep up to date with government regulations.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"South Australia, Australia",4.0,4.0,5.0,5.0,4.0,5.0,5.0,Westpac Banking Corporation
‘Work hard and be rewarded’,Bank Manager,Salary and discounts,High sales pressure,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,2.0,3.0,4.0,3.0,3.0,4.0,Westpac Banking Corporation
‘Lack of work life balance’,Home Finance Manager,The salary is ok,"Lack of support, no training, pressure, long hours, work life balance",Recommends working here: No,Rates salary as: Average,4 years ago,,4.0,1.0,2.0,1.0,3.0,3.0,3.0,Westpac Banking Corporation
‘A solid company to develo and grow’,Bank Manager,Good growth opportunities,System reliability,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,4.0,3.0,4.0,3.0,4.0,4.0,Westpac Banking Corporation
‘Great friendly environment’,Bank Teller,Great work life balance,"Time management skills are a must, you definitely have to work for your money but I find that a challenge rather then a problem.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sunshine Coast, Queensland, Australia",4.0,5.0,4.0,4.0,5.0,5.0,4.0,Westpac Banking Corporation
‘Worst year of my life.’,Home Finance Manager,Family & Friend benefits,Long hours minimal training. No family work life balance as they continuously advertise,Recommends working here: No,Rates salary as: Average,2 years ago,"Ashmore, Queensland, Australia",2.0,1.0,1.0,1.0,4.0,1.0,2.0,Westpac Banking Corporation
‘The choice is yours’,Customer Service Role,Helping customers achieve their dreams,The sales targets and pressure to perform,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Western Australia, Australia",3.0,3.0,3.0,2.0,3.0,4.0,3.0,Westpac Banking Corporation
‘Banking job to climb the ladder’,Teller,Great opportunities to learn and grow within your own role and into higher roles that are available within your own branch and others,It is a fairly high stress job with a lot of targets to meet and expectations placed upon you,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Mackay, Queensland, Australia",4.0,4.0,4.0,4.0,4.0,5.0,3.0,Westpac Banking Corporation
‘Great colleagues’,Customer Service Representative,Pay is on the higher side of average once established,Limited opportunities to move out of call centre,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Bedford Park SA, Australia",2.0,3.0,3.0,3.0,4.0,4.0,4.0,Westpac Banking Corporation
‘I won't deny I made some really good friends at work and it is wonderful ’,Personal Banker,"Good things that you can always change the work place if you not comfortable with anyone who you work with, also you make good relationships with customers.","Target oriented, so many meetings that sometimes hearing the same thing repeatedly makes you feel bored and like a robot.",Recommends working here: Yes,Rates salary as: Average,6 months ago,"Melton VIC, Australia",3.0,3.0,3.0,2.0,3.0,3.0,3.0,Westpac Banking Corporation
‘Really bad’,Product Manager,Employee Perks and benefits ,Politics n keeping hierarchy happy,Recommends working here: No,Rates salary as: Average,1 year ago,"Sydney NSW, Australia",2.0,1.0,1.0,1.0,3.0,2.0,1.0,Westpac Banking Corporation
‘Lots of work not much reward and recognition’,Business Change Manager,"Nice new building, some nice people there. Can work from home and relaxed at times.",Poorly structured programs that cause conflicts where roles and responsibilities are not clear. Also low pay and no bonuses or perks,Recommends working here: No,Rates salary as: Low,4 years ago,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,Westpac Banking Corporation
‘Very bad company to work for .....’,IT,"NONE
Cannot think of any. 
Managers only look after their bonuses...
They could not care less about work or staff...","Many
Main thing: managers look after themselves only....
They do not care if they need to fire many people to get their bonuses",Recommends working here: No,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Westpac Banking Corporation
‘.’,Program Manager,"Plenty of variety, good diversity and lots of challenges",Large organisation with beaurocracy,Recommends working here: Yes,Rates salary as: Low,3 years ago,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,Westpac Banking Corporation
‘Comfortable.’,Personal Banker,You get lots of benefits such as discounts on banking products and other goods.,"If you’re working in a branch, the main opportunities that arise are branch related roles. If you’re wanting to get out of branch, it is quite difficult - unless you have a great supporting manager.",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Sydney, New South Wales, Australia",3.0,5.0,4.0,4.0,5.0,3.0,4.0,Westpac Banking Corporation
‘Strated greta but slowly became a drag as attitudes changed’,"Teller, Manageraccountant, Investment Services Officer , Senior Funds Manager. Company Secretary, Legal Officer","People and travel. cheap loans were very good
",Unreal selling pressures,Recommends working here: No,Rates salary as: Low,6 months ago,"Adelaide SA, Australia",1.0,3.0,1.0,1.0,3.0,1.0,1.0,Westpac Banking Corporation
