title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
"‘Salary goes up a little, commission does down a lot’",Full Time Store Rep,Great discounts and work perks,Rules are too strict,Recommends working here: No,Rates salary as: Average,2 years ago,"Brisbane City, Queensland, Australia",4.0,3.0,3.0,3.0,5.0,5.0,3.0,Vodafone
‘Was ok and bought in a wage but highly stressful.’,Store Manager,Mmeting new customers and making friends,Too kpi driven and retail competing against online sales,Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",3.0,2.0,2.0,2.0,4.0,3.0,3.0,Vodafone
"‘I enjoyed working here, if you are older than 25 management positions would be better. ’",Sales Representative,Career advancements ,Some very young staff that don't take the job seriously and hinder the work of others,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Melbourne VIC, Australia",5.0,5.0,3.0,3.0,4.0,5.0,4.0,Vodafone
‘Good place to work. salary matches the work.’,Project Manager,"Flexible working.
great benefits.
opportunities to progress","Layers of management.
right people for the role",Recommends working here: Yes,Rates salary as: High,6 months ago,"North Sydney NSW, Australia",5.0,5.0,5.0,3.0,5.0,5.0,4.0,Vodafone
‘Work at vodafone means knowing the communication industry and its strategy’,Retail Sales Assistant,Get bonus and knowing what happen in the Australian's communication industry,Every day have to learn about new offers,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",3.0,5.0,3.0,3.0,3.0,5.0,4.0,Vodafone
‘Enjoying working with some good people’,PMO Manager,The culture and the people,Career progression is not easy,Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,4.0,4.0,3.0,2.0,3.0,4.0,Vodafone
‘Vibrant and flexible working environment with several perks’,Sourcing Manager,Casual dressing code every day; flexibility of working from home one day a week; positive environment.,"The drawback of the solid existing relationships between colleagues is that it makes it harder to become \""part of the gang\"".",Recommends working here: Yes,Rates salary as: High,1 year ago,"North Sydney Nuovo Galles del Sud, Australia",3.0,5.0,4.0,4.0,5.0,4.0,4.0,Vodafone
‘Not very nice’,Retail Sales Assistant,Pay is reasonable..but now a days they cut the commission.,Management is useless.,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Sydney NSW, Australia",2.0,4.0,2.0,1.0,4.0,5.0,2.0,Vodafone
‘Fast paced but rewarding.’,Sales Executive,Friendly people. Great product. Lots of customers. Rewarding experience.,Non flexible rosters.,Recommends working here: Yes,Rates salary as: Low,4 years ago,,4.0,4.0,5.0,4.0,5.0,5.0,5.0,Vodafone
"‘Challenging, empowering and great fun’",National Design Manager,The can do culture and empowerment given to staff at all levels,"The time pressure of fast deliveries, often at the cost of quality",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,5.0,5.0,3.0,3.0,5.0,5.0,Vodafone
