title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘It's a job where I never stop learning’,Customer Service Specialist,My colleagues and the customers,Meeting targets,Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,3.0,4.0,3.0,4.0,4.0,4.0,Commonwealth Bank of Australia
‘Very exhausting’,Product Designer,Talented people working there,Reporting to managers who aren't properly qualified to lead a team.,Recommends working here: No,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,4.0,3.0,1.0,3.0,2.0,3.0,Commonwealth Bank of Australia
‘Very bad workplace’,Customer Service Representative,I do not see any positive point.,Lots of pressure just because of more sale.,Recommends working here: No,Rates salary as: Low,2 years ago,"Brisbane City QLD, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Commonwealth Bank of Australia
"‘Good company to work for, unfortunately relocating my job fell through’",Customer Service Officer,"Support by peers, good training",Inadequate number of staff,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Parramatta, New South Wales, Australia",3.0,3.0,4.0,4.0,3.0,5.0,4.0,Commonwealth Bank of Australia
‘Awsome.’,Lending,Quality people top to bottom.,Biggest competitor is our own people.,Recommends working here: Yes,Rates salary as: High,4 years ago,,4.0,4.0,5.0,4.0,4.0,5.0,5.0,Commonwealth Bank of Australia
‘Average ’,Risk, Offices are nice but ABW doesn’t work,"Diversity is preached but not practiced, especially from a cultural perspective ",Recommends working here: No,Rates salary as: Average,1 year ago,"Sydney NSW, Australia",1.0,1.0,2.0,1.0,2.0,1.0,2.0,Commonwealth Bank of Australia
‘If it hadn't been for the people I worked with it would have been almost unbearable.’,CSO,My fellow staff members. We still get together every few months.,Management attitudes.,Recommends working here: No,Rates salary as: Low,4 years ago,"Parramatta, New South Wales, Australia",2.0,2.0,2.0,2.0,2.0,2.0,4.0,Commonwealth Bank of Australia
‘Not accommodating to people with different opinions to management style’,Snr Business Analyst,Contract Solution architects that solve immediate problems,Dealing with managers with a tactical vision that focuses on their needs and wants  e.g what's good for another promotion - rather than the the strategic  oollective vision of CBA,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",3.0,4.0,1.0,1.0,1.0,5.0,5.0,Commonwealth Bank of Australia
‘My role was made redundant even though I was contributing over $6m revenue.’,Manager,"Work life balance was the only positive, people work hard and met great colleagues but the organisation is toxic to work at.","Too much agendas, management always look to advance themselves.",Recommends working here: No,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",2.0,3.0,2.0,1.0,1.0,2.0,2.0,Commonwealth Bank of Australia
"‘,’",Rba,.Lots of politics. People do things to cover themselves.,",,.Lots of politics. People do things to cover themselves",Recommends working here: No,Rates salary as: Average,2 years ago,"Sydney NSW, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Commonwealth Bank of Australia
"‘Great company to work for, lots of opportunities to take your career forth.’",Technical Business Analyst,Company culture and staff attitude towards everyday work,Finding a desk in the mornings (hotdesking),Recommends working here: Yes,Rates salary as: High,4 years ago,"Sydney, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Commonwealth Bank of Australia
‘After 7 years my dr said if i wanted to live a long life i needed to leave’,2ic Customer Service Specilist,Discount on interest rates,No flexibility and women penalised for taking mateenity leave,Recommends working here: No,Rates salary as: Average,4 years ago,"Parkes, New South Wales, Australia",1.0,2.0,1.0,1.0,5.0,1.0,1.0,Commonwealth Bank of Australia
‘Awesome environment to work’,Build And Release Engineer,"Nice people to work with. 
Challenging projects to work on
Focus on innovation and latest technologies
Great work life balance",None I can think of.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Sydney, New South Wales, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0,Commonwealth Bank of Australia
‘Pretty good’,Credit Risk,"Flexibility opportunities
Career development","How the company deals with change, either minor or major(redundancies)",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Docklands, Victoria, Australia",5.0,5.0,4.0,4.0,5.0,5.0,4.0,Commonwealth Bank of Australia
‘A great place to work with alot of opportunities to move within the company’,Customer Service Specialist,The staff benefits and working with a diverse bunch of people whom come from all different backgrounds.,The daily sales targets,Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,4.0,4.0,3.0,4.0,4.0,5.0,Commonwealth Bank of Australia
‘I enjoy my job most days and the challenges that come with it.’,Customer Service Specialist,"Stable company, good work environment, flexible.","High targets, pressure, management expect a lot, you're just a number in a massive company.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Mildura, Victoria, Australia",3.0,4.0,4.0,4.0,2.0,5.0,3.0,Commonwealth Bank of Australia
‘Supportive performance focus’,Executive Manager,"Diversity,  performance focus, working environment.",High work load.,Recommends working here: Yes,Rates salary as: High,4 years ago,Sydney,4.0,3.0,5.0,4.0,5.0,5.0,5.0,Commonwealth Bank of Australia
‘Very Sydney centric and exclusive leadership style’,Institutional Banking And Markets,CBA's reputation amongst clients,"Perth was often left out of organisation wide initiatives as it only represented 10% of the total revenue for the company. Not an inclusive workplace. Poor quality office environment, office management and respect for staff.",Recommends working here: No,Rates salary as: Low,2 years ago,"Perth WA, Australia",2.0,3.0,1.0,2.0,2.0,2.0,2.0,Commonwealth Bank of Australia
‘Great place for career development but you need to stand out or it's easy to get left behind’,Finance Manager,Flexible working and good career development,A lot of people so it can be hard to stand out,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",5.0,3.0,4.0,3.0,3.0,5.0,4.0,Commonwealth Bank of Australia
‘Great!’,QA Test Analyst,"Great technology, great environment, many talent people",Project timeline,Recommends working here: Yes,Rates salary as: High,4 years ago,"Sydney Olympic Park, New South Wales, Australia",4.0,2.0,4.0,3.0,4.0,5.0,4.0,Commonwealth Bank of Australia
