title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘I myself have had a good run with the company due to management liking me and it is a good company to work for but some others aren't quite so lucky.’,Customer Service Manager,"Good training opportunities and willingness to train staff in certificates and courses
Career changes are possible with transfers into other departments or even other brands of Woolworths.","Overtime is looked down upon although they expect the work to be done anyways. 
Little to no credit at times but this is due to management at a store/state level and nothing to do with the policies and procedures. 
Staff and wage cuts are made often and are ridiculous.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Bunbury, Western Australia, Australia",5.0,3.0,4.0,3.0,3.0,5.0,4.0,Woolworths Supermarkets
"‘A retail giant where they only moves according to the \""needs of customers\""? I don't think so. Fat pocket for management and share holders are more important. The lower your position in the company means they will drive you down like a nail unfortunately, ’",Service Supervisor,"It is a hit and miss, as a supervisor that manages more than 30 front end staff, you will be blessed if you get the right people work at the best needed time and a nice manager","Hours getting cut, management expect things to get done with less hours? Ridiculous. Stay as a normal worker and work as you normally would because the more you get done with less people the more they expect it done next time with even less people",Recommends working here: No,Rates salary as: Average,3 months ago,"NSW, Australia",4.0,3.0,2.0,2.0,2.0,4.0,3.0,Woolworths Supermarkets
‘Exactly how you would picture it.’,Service Assistant,No waiting period to be entitled to 5% staff disscount when first commencing work. Variety in areas that I could choose to work in. Friendly and welcoming work environment. Accomodating to the needs of VCE students,"Management issues and a lack of leadership and rolemodeling. The inability to advance into a higher role whilst attending high school. After a certain group employment length, hours reduced to very minimal hours unless agreeing to a part time contract, but not being able to receive more than 12 hours per week.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Hastings, Victoria, Australia",2.0,3.0,3.0,2.0,3.0,5.0,3.0,Woolworths Supermarkets
‘Great if you can get a guarantee for shifts; horrible if due to lack of rostered work you find yourself begging for shifts.’,Casual Team Member,"Interesting clientelle. Constaintly active, no standing around bored for the most.Supervisiors will assist new staff as much as they are able, and tend to be friendly people. Quite a good payrate when compared to other jobs at the same skill level.","The parent company often executes cuts to the avalable money for staff pay, forcing supervisors to roster on less staff than the store trully requires to run. Casual staff often find themselves going weeks without work after one of these cuts occur. Supervisors will try to roster on all staff anyway, but this can mean being called in every time someone is sick reguardless of your own personal scedule.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sarina, Queensland, Australia",3.0,2.0,3.0,3.0,2.0,3.0,3.0,Woolworths Supermarkets
‘Working for Woolworths Supermarkets is both extremely stressful and rewarding.’,Customer Service,Working in a fast paced retail environment is a challenging but rewarding role.  What was most rewarding is the growth of my interpersonal skills whilst working for Woolworths Supermarkets.,"The most difficult challenge of working for Woolworths Supermarkets was dealing with the unrealistic goals set by management in relation to rostering. Head Office had anticipated that saving money by reducing the rostering budget would be effective. From my point of view, as an employee working on the front end of the supermarket business, this was insensible as it put a great deal of stress on store teams to meet the demand from customers.",Recommends working here: Yes,Rates salary as: Low,2 years ago,"Queensland, Australia",5.0,4.0,4.0,3.0,3.0,5.0,4.0,Woolworths Supermarkets
‘Customers that love you and employees that look forward to seeing you.’,Customer Service Cashier,"The amazing people you meet along the way and the work got do as a team. You build rapports that excited you to go to work. The people play a big role when it comes to enjoying work and that's my main enjoyment, my customers are up there aswell.",The challengers for me was to lead a team of of older people but in saying that they guide you in the right direction when your feeling lost and support you in every way,Recommends working here: Yes,Rates salary as: High,4 years ago,"Narre Warren, Victoria, Australia",5.0,5.0,4.0,4.0,5.0,5.0,5.0,Woolworths Supermarkets
"‘Great place to work, opportunity to meet and work with diverse background of people. ’",Team Member,Flexible working arrangements,Maintain consistency and working under short of resources. ,Recommends working here: Yes,Rates salary as: Average,3 months ago,"Bonner ACT, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Woolworths Supermarkets
‘It was life changing and definitely worth it.’,Order Selector,"I had great manager who allowed me to work more when I needed to make more money by offering me opportunities to pick up more shift or even pull in more overtime. I work hard and my efforts were rewarded.
I had a great work life balance as the split shifts allowed me baclcnce my work and private life without losing any money. I could opt to do afternoon if I had things on during the day and vice versa. My family too loved the fact the I could schedule my life around them.","I didn't have any, if I really had to pick one it would be that my place of work was a bit far and that there was no public transportation at that time, so much hen I had a  break down on my car, it made thinf s a little bit harder to make the early morning, or late finish. I only suffer a major break down once but once Imy car was on the road again everything went as perfectly as before.",Recommends working here: Yes,Rates salary as: High,4 years ago,,4.0,5.0,5.0,4.0,4.0,5.0,5.0,Woolworths Supermarkets
"‘Overall I really enjoyed my time at the company, I have made some great friends and learned some important life skills that I can take with me to any workplace.’",Registers And Deli Assistant.,"I enjoyed the stability and the working environment. The staff were my colleagues and my friends.
The pay was fair and the opportunity to move between work types was a simple conversation to get the process started!","Trying to transfer stores was a tricky process as was securing those awesome public holiday shifts. 
My store in particular was very accommodating to my use of public transport and would cater shifts to suit me but sometimes that would hinder  the amount of shifts I would get offered as a Casual.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Geelong, Victoria, Australia",3.0,4.0,3.0,3.0,2.0,3.0,4.0,Woolworths Supermarkets
‘During my time at woolworths I learn't alot but it isn't for everyone.’,2IC Manager,If you have a great manager like I did then you will be supported and enjoy working here but if you have a bad manager than you will have a hard time.,You are expected to do a lot with little to no help. Customers can sometimes be extreme but remember that there are great customers too!,Recommends working here: Yes,Rates salary as: Average,4 years ago,,2.0,4.0,3.0,2.0,1.0,3.0,3.0,Woolworths Supermarkets
"‘Woolworths was my first ever job and has taught me valuable skills in customer service and resolving consumer disputes in an appropriate manner, I have used these valuable skills in all my jobs and am grateful to have worked for such an ethical and nuturi’","Grocery, Perishables, Liquor Assistant And Cashier","1. Roster is scheduled around your study.
2. Freedom to stay employed and move to another store in the circumstance you move house etc.
3. Fuel and store discount as well as discounts for other companies under the Woolworths umbrella.
4. Constant safety traning provided and a big emphasis on being safe.
5. Great employee social atmosphere.
6. Ability to pick up more shifts or fill in to earn more income.","1. Customers who steal.
2. Underage customers trying to purchase cigarettes and alchol.
3. Intoxicated and argumentative or rude customers.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Deer Park, Victoria, Australia",4.0,5.0,5.0,5.0,4.0,5.0,5.0,Woolworths Supermarkets
‘Great working environment’,I Was Trained In A Few Areas Since It Was A Work Experience,"Working with Woolworths was a great opportunity, even though I was there for a work experience, but I have learnt a lot, healthy working environment, happy people, free of discrimination and great and helpful employees, I like the way they operate their customer service system.","Everything is a challenge to me.
- how they work
- how they deliver their service
- how they treat people (both employees and customers)
- the way they communicate",Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,4.0,5.0,5.0,4.0,4.0,5.0,Woolworths Supermarkets
‘A decent and enjoyable job with a great team’,Team Member,Its a very sociable and enjoyable job.  I met a lot of new and interesting people and everyone works well together as a team. There is a fair pay for the tasks that need to be performed with a good amount of break time.,Sometimes trying to get further in the industry can be challenging and competive. It also can become quite mundane sometimes and doesnt challenge your brain much. Customers can also get a bit much to deal with.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sarina, Queensland, Australia",3.0,4.0,5.0,3.0,3.0,4.0,5.0,Woolworths Supermarkets
‘I have learnt so much from Woolworths that have improved  me as a worker for future careers.’,"Night Fill, Bakery Assistant And Online Shopping Assistant","The people you get to work with bring a new perspective in work family. Everyone looks after one another, making sure things get done right.",Dealing with the tough customers and the small amount of people that don't show enough effort in there work.,Recommends working here: Yes,Rates salary as: Average,4 years ago,Highpoint and Castletown,5.0,3.0,4.0,3.0,3.0,5.0,4.0,Woolworths Supermarkets
‘Great Pay though unsupportive management’,Casual Team Member,"AMAZING PAY, and the job is relitivky easy for the pay you get being a school student! Hours are flexible and their is always shifts available.",Management is not support of the importance of school studies so never commit to too many shifts as they will expect this of you during exam time (they don't let you not show up for study time)! Business over employees,Recommends working here: No,Rates salary as: High,4 years ago,"Secret Harbour, Western Australia, Australia",2.0,4.0,2.0,1.0,3.0,3.0,1.0,Woolworths Supermarkets
‘It is a brilliant experience for anyone looking to start off in customer service - with the potential to learn a trade depending on the department.’,Store Assistant,It was a great atmosphere. There was always someon that I felt I go to if I needed anything. Management and supervisors were always very understanding.,"One of the biggest challenges was trying to progress up the chain of command. There are so many people all fighting for that spot - and sometimes it doesn't go to those who deserve it the most. However, the choices are made for reasons.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",3.0,5.0,4.0,4.0,2.0,3.0,4.0,Woolworths Supermarkets
‘I want my 10 years of my life back.’,Assistant Manager,Most Woolworths stores have genuinely hard workers that are down to earth and look out for each other.,Promotions are non existent. Work load is unbelieveable. Expectations are too high. Assistant department managers get paid hardly anything  more than a standard full time worker yet the work load they expect you to achieve is a joke. A lot of the time they never acknowledge how much extra work you end up doing in your own time to get the job done.,Recommends working here: No,Rates salary as: Low,4 years ago,"Newcastle, New South Wales, Australia",1.0,1.0,3.0,2.0,1.0,1.0,1.0,Woolworths Supermarkets
"‘Overworked, underappreciated, impossible expectations.’",Night Manager,"The money, and a few team mates","Lack of support and no oppurtunity to improve, any ideas that could offer improvement were shut down, no opportunity to Manage my own team, aways micromanaged, spoken to poorly, no positive feed back always looking for the negative, expected to work more than paid and understaffed on purpose, no support to performance manage my team. Stuck in the old ways that no longer work.",Recommends working here: No,Rates salary as: High,4 years ago,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,Woolworths Supermarkets
