title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
"‘I hate this place, please for the love of god kill me’",Cleaning,None. I hate this job more than my last job and people died in that job,Going to work everyday,Recommends working here: No,Rates salary as: Average,2 years ago,"West Leederville WA, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Coles Supermarkets
‘Did not feel I was appreciated’,Part Time Duty Manager,Conversing with customers,Trying to maintain shop presentation with minimal staff and constant cost cutting  by Coles hierarchy,Recommends working here: No,Rates salary as: Low,2 years ago,"Grafton, New South Wales, Australia",2.0,2.0,2.0,2.0,2.0,2.0,1.0,Coles Supermarkets
‘Nice job’,Casual Staff Member,80c discounts on your own coles card but thats about it.,"None, it was simple work place.",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Keysborough, Victoria, Australia",2.0,4.0,4.0,4.0,2.0,5.0,4.0,Coles Supermarkets
‘Worst experience of my life’,Oline Shopper,Nothing  good to say about my time at coles,You get 3hrs a week and the they let you go with no notice or even speaking to you,Recommends working here: No,Rates salary as: Average,6 months ago,"Adelaide SA, Australia",2.0,1.0,1.0,1.0,2.0,5.0,1.0,Coles Supermarkets
"‘Always busy, lots to do, great team to work with’",Personal Online Shopper,Mixing with many nationalities and working as a team ,"Get jobs done in time frame,",Recommends working here: Yes,Rates salary as: Average,1 year ago,"Richmond VIC, Australia",4.0,3.0,4.0,4.0,4.0,5.0,4.0,Coles Supermarkets
‘I have fun’,Team Member Nightfill Grocery,I enjoy the customers and the work l do. ,"No real physical to site work area induction so when you first start in a department you have not much idea at all what's expected, what are the procedures, what tasks are expected to be done by you and what areas within that you are not to work on and no one wears their name tags so that makes it difficult to learn new team members names",Recommends working here: Yes,Rates salary as: Low,6 months ago,"Richmond VIC, Australia",4.0,4.0,4.0,3.0,3.0,5.0,4.0,Coles Supermarkets
‘Work that's enjoyable.’,Bakers Assistant,I work with great people. Great team work. They understand family commitments.,The only challenge is yourself. It's up to you to get in and do what needs to be done.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Coles Supermarkets
‘It was an ok job while studying.’,Checkout Operator,Normally very nice people to work with.,Customers. Management changing your permanent shifts without notice. Being made to stay back and extra 10-15 minutes and not getting paid.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Brisbane City, Queensland, Australia",2.0,2.0,3.0,1.0,1.0,2.0,3.0,Coles Supermarkets
‘Not a nice company to work for they treat there team members not nice ’,Checkout Operator,There not a nice company to work for I used to work for Coles ,They should put more people on register and more registers open for customers ,Recommends working here: No,Rates salary as: Low,1 year ago,"Preston VIC, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Coles Supermarkets
‘Could run be better.’,Barista,"I enjoy what I do, the people I work with are awesome and the staff discount",Not having enough staff or allocated hours  to work comfortably.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Joondalup, Western Australia, Australia",3.0,4.0,4.0,3.0,4.0,4.0,3.0,Coles Supermarkets
‘Made lifetime friends’,Customer Service Assistant,Everyone works as a team and helps out,Wanting to go full time and being told that not possible unless i become a manager,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Prospect, South Australia, Australia",3.0,5.0,3.0,3.0,5.0,5.0,5.0,Coles Supermarkets
‘No opportunity for career progression’,Deli Assistant,Great team to work with,No care given to workers,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Caboolture, Queensland, Australia",1.0,3.0,3.0,3.0,3.0,3.0,5.0,Coles Supermarkets
‘It’s a job with career opportunities as well as a great job for school leavers/student to make some money’,Team Leader,They manage your lifestyle well with work which is great if you have kids,Coles services are still pretty new and team members are changing a lot so sometimes it’s hard to get the rosters right but if you express your opinion to management they will help as much as they can,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Port Adelaide SA, Australia",3.0,4.0,2.0,3.0,4.0,5.0,3.0,Coles Supermarkets
‘Goo place to work.’,Nightfill,The varied hours.,Amount of hours vary die to demand.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"San Remo, New South Wales, Australia",4.0,4.0,4.0,4.0,3.0,4.0,4.0,Coles Supermarkets
‘Great starting out job as a teenager’,Deli And Service,Making friends and the pay.,"Getting more part time hours, even when showing initiative and being reliable.",Recommends working here: Yes,Rates salary as: Average,3 years ago,Geelong,2.0,3.0,3.0,3.0,2.0,3.0,3.0,Coles Supermarkets
