title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
"‘I met some great people and learned lots about the corporate environment- and I'm now completely changing career because this has been such an awful experience in terms of support, management and mental health (I developed severe depression over the two y’",Consultant,There were nice people and they have good values and practices on paper,The turnover rate is appallingly high because the values and practices in reality are very different to those the promote. Management and acceptance of work life balance were terrible as was support during difficult periods. Once management realised there was a mass exodus occurring the started to take more care and concern into the lower ranks' wellbeing- however for me it was too little much too late.,Recommends working here: No,Rates salary as: Low,2 years ago,Australia,3.0,1.0,2.0,2.0,3.0,4.0,2.0
‘I would never work for these leaches traders again’,Management Consultant,"There were very few, highly demanding partners, low pay and stimulating work","Highly demanding partners, low pay and stimulating work",Recommends working here: No,Rates salary as: Low,1 year ago,"Canberra ACT, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0
‘I have grown and learnt alot and grateful for the opportunities EY have provided me’,Marketing Coordinator,The people culture and the vision overall to keep evolving as an organization and try new ways,Can take time to progress,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,5.0,4.0,4.0,5.0,5.0
"‘Average. Other similar firms had a better, more personable culture than this firm.’",EA,Interacting with other admin staff and their professionalism.,"Old school culture, non flexible working environment for admin staff. Not treated like an equal. Not a very balanced environment where you feel you are valued or supported.",Recommends working here: No,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",1.0,3.0,2.0,1.0,2.0,4.0,2.0
‘Awful’,Consultant,Drinks. Xmas parties.,Hierachy. Management. Culture.,Recommends working here: No,Rates salary as: Low,2 years ago,"Brisbane City, Queensland, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0
‘Life changing experience in a multicultural environment.’,Senior Consultant,Massive investiment in training and development,Work/life balance was trick sometimes. Best clients and high demanding accounts/businesses,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Good experience but switch to something else’,Senior,"Lot of exposure to different environment and different people
Lots of trainings available
Flexibility","Very average salary
Terrible archaic evaluation system
Continuous changes of supervisor",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",2.0,3.0,4.0,3.0,1.0,4.0,3.0
‘Great Experience!!’,Audit Manager,Variety,Managing diverse portfolio of clients which made it interesting but also challenging at the same time!!,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Not a place for long-term career happiness and fulfilment’,Assistant Manager,Learning and Development. Varied client base and industry sector.,Being asked to complete work in unrealistic time frames. Staff working 6 days a week and not happy.,Recommends working here: No,Rates salary as: Low,4 years ago,,4.0,1.0,2.0,2.0,2.0,3.0,2.0
‘Its my opporrunity to drive.’,Associate Partner,Diverse experience gained and opportunity to be involved in some very signivicantnand meaningful engagaments,The usual big company ones,Recommends working here: Yes,Rates salary as: High,4 years ago,"Canberra, Australian Capital Territory, Australia",4.0,4.0,4.0,4.0,4.0,5.0,5.0
‘Great and flexible with good Learning opportunities ’,Internal Finance,"Flexibility
Location
Caliber of leaders
Global and complex",Lack of control given part of global,Recommends working here: Yes,Rates salary as: Average,3 months ago,"Melbourne VIC, Australia",4.0,5.0,5.0,5.0,5.0,5.0,5.0
"‘Good experience, but not a long-term career path’",Senior Consultant,Good work experience,Uninspiring leaders and managers,Recommends working here: No,Rates salary as: Low,2 years ago,"Perth WA, Australia",4.0,3.0,1.0,1.0,1.0,3.0,2.0
‘EY works as hard for me as I do for EY.’,Tax Senior,"D&I, client oppotunities","Work life balance can sometimes be difficult, managing client expectations is always tricky, however the firm makes up for this by allowing us to work somewhat flexibly",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",4.0,3.0,5.0,4.0,3.0,5.0,5.0
‘Come if you want work work balance’,Consultant,"Co-workers are beautiful and friendly, nice working environment",Too much to do at weekend,Recommends working here: Yes,Rates salary as: High,1 year ago,"Perth WA, Australia",5.0,3.0,3.0,4.0,4.0,5.0,3.0
‘Can be a better working world’,Senior Taxation Consultant,"Honest feedback
open communication with partners
tools available to execute work","Lack of visibility of promotion / progression process
making friends - peers don't seem very welcoming",Recommends working here: Yes,Rates salary as: Average,2 months ago,"Sydney NSW, Australia",3.0,3.0,2.0,2.0,3.0,2.0,3.0
"‘Poor work life balance, a churn and burn culture that does not value its employees as long term prospects for development.’",Director,The variety of work is stimulating.,The leadership cannot be trusted when they make promises in relation to the career paths of their people. There is a culture of dangling a false carrot in front of people’s heads to keep them around.,Recommends working here: No,Rates salary as: High,2 months ago,Australia,1.0,1.0,1.0,1.0,1.0,2.0,1.0
‘Best place for a driven and growth minded person ’,Director,"People and culture, opportunities to learn and grow",Time management and high demand ,Recommends working here: Yes,Rates salary as: Average,2 months ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,3.0,5.0,5.0
‘Good learning environment with lots of helpers with tonnes of knowledge base’,Audit Senior Associate,"Good partners
Lovely coaches
Lots of stuff for referral and guidance",If in RCIP Department - away from home maybe be hard for those with young family.,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Worthful time spent and would look forward for opportunities in future.. ’,D&A Specialist,Excellent Work culture ,Sometimes client but EY DNA as a company - Excellent,Recommends working here: Yes,Rates salary as: High,3 months ago,"Sydney NSW, Australia",4.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Rewarding and Supportive’,Vacationer,Work/ Life  Balance. Extremely flexible and understanding environment.,"Tasks can vary from simple to extremely complex. However, there is plenty of support to help build skills and overcome challenges. ",Recommends working here: Yes,Rates salary as: High,2 months ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
"‘Awful, do not work here. ’",Taxation Consultant,Nice offices. Some good clients.,"Colleagues, managers, partners, some clients aren’t good. ",Recommends working here: No,Rates salary as: Low,2 months ago,"Brisbane QLD, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0
‘Great experience with a well known brand’,Senior Associate,Challenging and exciting with equality,Long hours,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,4.0,4.0,4.0,3.0,5.0,4.0
‘Good place’,Consultant,Fair,Work hard,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,3.0,5.0,5.0,4.0,5.0,5.0
‘Generally they don't treat their staff very well.’,Marketing Manager,Good brand to work for and experience gained in a global organisation,Some challenging personalities at leadership level. IT systems were overly complex time consuming and frustrating.,Recommends working here: No,Rates salary as: Average,4 years ago,,2.0,2.0,3.0,3.0,3.0,3.0,2.0
‘It was a great experiences’,Assistant Assurance,We know lot of new things,All of the deadline and how to manage it,Recommends working here: Yes,Rates salary as: High,this month,"Western Australia, Australia",4.0,2.0,4.0,4.0,4.0,5.0,4.0
"‘Looks great from the outside and on your CV, but is just used as experience for most due to perpetuation of high turnover culture. ’",Advisory Consultant,"Nice view, flexibility depending on your engagement, hours are great for most juniors. ","Easy to be bored and lack purpose even with lots of work, lip service to things like culture which is actually very cold, clinical work space, lots of people who want to leave (which makes things very depressing). ",Recommends working here: No,Rates salary as: Low,2 months ago,"Sydney NSW, Australia",4.0,4.0,2.0,2.0,3.0,2.0,2.0
‘It was absolutely horrible.’,Executive Assistant,Meeting a variety of people from diverse backgrounds. ,"Micromanagement, little opportunity for progression unless you are a director of partner, constantly being told I need to change my personality, constant gossiping that has no relevance to the work at hand, not enough money for the hours put in. ",Recommends working here: No,Rates salary as: Low,a few days ago,"Australian Capital Territory, Australia",1.0,2.0,1.0,1.0,1.0,1.0,1.0
‘Good company to get experience in big project but worst working culture and management is non existant’,SAP Business Analyst,Get to work on bigger projects,Dealing with cheaper resources,Recommends working here: No,Rates salary as: Average,2 years ago,"Sydney, New South Wales, Australia",4.0,3.0,1.0,2.0,1.0,5.0,2.0
"‘Good opportunity to jump-start your career, but don't stay for too long if you want to continue doing delivery work and improving your technical skills.’",Cyber Security Consultant,"- Good soft skill development
- Good work/life balance","- Bad managers
- Toxic culture
- Unfulfilling work",Recommends working here: No,Rates salary as: Low,2 months ago,"Melbourne VIC, Australia",2.0,4.0,3.0,1.0,4.0,2.0,2.0
‘Great people but low pay’,Associate Director,"I’m in CBS the internal team, so I have great work life balance and excellent support for professional development",Growth opportunities are less and so is the pay,Recommends working here: Yes,Rates salary as: Low,2 months ago,"Sydney NSW, Australia",5.0,5.0,4.0,5.0,4.0,5.0,4.0
‘Wouldn't recommend anyone to join ’,Senior Auditor,Couldn't think of any,Have to work overtime everyday without any compensation. No assistance from managers whatsoever.,Recommends working here: No,Rates salary as: Low,2 months ago,"Melbourne VIC, Australia",2.0,1.0,2.0,1.0,1.0,1.0,1.0
‘Great organisation to work for if you have support and backing of a partner and team. ’,Manager,"Exposed to a wide variety of people, businesses, challenges and technology. ",Impossible to progress as a technical resource. ,Recommends working here: Yes,Rates salary as: Average,2 months ago,Australia,2.0,5.0,5.0,2.0,5.0,5.0,4.0
‘Enjoyable and challenging ’,External Auditor Senior,The staff morale and working environment is good.,Clients are always a challenge in an audit space.,Recommends working here: Yes,Rates salary as: Average,2 months ago,"Perth WA, Australia",4.0,3.0,4.0,3.0,3.0,4.0,4.0
"‘Learn, learn, learn’",Manager,"Working with intelligent people, the purpose of building a better working world","Dealing with local leadership, legacy tools and its limitations",Recommends working here: Yes,Rates salary as: Low,2 months ago,"Perth WA, Australia",3.0,2.0,3.0,3.0,2.0,3.0,3.0
